outcome,contrast,hedges_g,ci_low,ci_high
failure_count,G2 vs G1,-0.7859431849181513,-1.437481841743637,-0.24615223248440152
failure_count,G3 vs G1,-1.6490438989245635,-2.7753359376500613,-1.0158057097121265
failure_count,G3 vs G2,-1.3507688284355404,-2.4007025986921717,-0.7649268850772815
passed_tests,G2 vs G1,0.7859431849181513,0.24615223248440218,1.4374818417436388
passed_tests,G3 vs G1,1.649043898924563,1.0158057097121267,2.775335937650061
passed_tests,G3 vs G2,1.35076882843554,0.7649268850772808,2.4007025986921713
failure_diversity,G2 vs G1,-0.2839427553391622,-0.6089893646231718,-0.2839427553391622
failure_diversity,G3 vs G1,-0.9408116718913013,-1.4078679881635128,-0.5958912881020098
failure_diversity,G3 vs G2,-0.9062948391679875,-1.3622048155841116,-0.5693727734015961
norm_fail_AI,G2 vs G1,-0.43941147133481734,-1.081326028228011,0.12137043081729271
norm_fail_AI,G3 vs G1,-1.353822354484508,-2.551413490802037,-0.7195648127261031
norm_fail_AI,G3 vs G2,-1.0206758080422063,-2.078805069975722,-0.43031682738568144
norm_fail_CO,G2 vs G1,-0.30653758955319227,-0.884120911340388,0.24635463663326704
norm_fail_CO,G3 vs G1,-0.9505430945591142,-1.6014500864912713,-0.4501602878051226
norm_fail_CO,G3 vs G2,-0.7314300292710744,-1.3412399444583984,-0.21978360975344427
norm_fail_EC,G2 vs G1,-0.01821167805321541,-0.509132734059901,0.6196395305071084
norm_fail_EC,G3 vs G1,-0.9169905876263725,-1.8318032017975256,-0.3522988785057258
norm_fail_EC,G3 vs G2,-0.9979207998481286,-2.090526497280967,-0.4126415566877702
norm_fail_IV,G2 vs G1,-0.5293375076502754,-1.1353458275286976,0.035189887373882435
norm_fail_IV,G3 vs G1,-2.4452655769043057,-4.1666787215484495,-1.6630451241654325
norm_fail_IV,G3 vs G2,-2.038881137932362,-3.524059694416677,-1.3185462226251998
norm_fail_TB,G2 vs G1,-0.39417076320648853,-0.7547795475577933,-0.39417076320648853
norm_fail_TB,G3 vs G1,-0.39417076320648853,-0.7547795475577933,-0.39417076320648853
norm_fail_TB,G3 vs G2,,,
